item_id,source,category,caption,article_lead,caption_len_tokens
675556,guardian,world_society,A RAF Sea King rescue helicopter such as the one distracted by a teenager playing with a laser pen,"A teenager playing with a laser pen cost the taxpayer thousands of pounds in RAF time and put a helicopter at potential risk, a court was told. The 14-year-old distracted a Sea King crew searching for a missing kayaker off the river Tees estuary by sweeping the sky in front of them with a narrow beam of green light. Teesside youth court heard that the pilots saw the lights as they came in low over Redcar last week, searching for distress signals or other signs of Shane Smith, whose kayak was later washed ashore empty. The 30-year-old from Seaham, county Durham, has not been found. Chris Atkinson, prosecuting, said that the laser light had been shone at the aircraft a second time as it tracked back down the coast. The crew, who had been scrambled from RAF Leconfield in east Yorkshire, helped police pinpoint the source of the beam and the boy was arrested. The court heard that the boy had been given the laser pen by his father a few days earlier and was shining it at the window of a neighbouring house, which deflected the beam into the sky. Amy Dixon said in mitigation that the boy knew he had done wrong but did not mean to cause trouble and was just messing around . The teenager admitted directing or shining a light at an aircraft in flight so as to dazzle or distract the pilot. He was given a conditional discharge for 18 months and ordered to pay 50 compensation. John Miller, chair of the magistrates, told him that the money was a drop in the bucket compared to the costs he had caused. He said: The implications do not bear thinking about.The delay in getting the aircraft to where it needed to be meant somebody's life could have been at risk. The pilot could have been blinded and it could have cause the helicopter to crash.",19
754135,guardian,sport,Mas Honduras,"El Mercurio, Chile Excelsior, Mexico La Prensa Grafica, El Salvador La Repubblica, Italy M s, Honduras L der, Venezuela The New York Times, USA La Prensa, Mexico Lib ration, France El Observador, Uruguay",2
887366,guardian,world_society,A man carries empty water pitchers for sale in a market in Bangalore India,"Good week for Kailash Satyarthi and Malala Yousafzai, who have been awarded the 2014 Nobel Peace Prize. Estonia, which became the first ex-Soviet state to legalise gay marriage. Bad week for Central African Republic, after fresh clashes broke out in Bangui, the capital, amid growing tension between rival militias. Kenyan president Uhuru Kenyatta , who appeared at the International Criminal Court for inciting election violence. Quote of the week This week’s quote comes from Mery Medina, a Colombian activist with women’s rights network Mariposas, about how development would reduce violence in her home country. Peace will come if we have social investment. We lack jobs, good education, medical services. We do not have spaces where children can enjoy their childhoods ... 80% of the population live in absolute poverty. All this comes together to create violence.” What you’re saying Reflecting on the future of global development communications , UN Women intern @CatPhillips says campaigns need to avoid one-dimensional portrayals. This week in numbers 100 million Facebook users in India, despite 1.1 billion people without internet access. 25,000 Cubans arrived in the United States without visas this fiscal year , the highest number since 1994. 3,000 islands around Lake Victoria now have better access to healthcare via a hospital ship. 500 NHS workers in the UK have signed up to volunteer at hospitals in Sierra Leone. 30% of 1,426 reported maternal deaths in South Africa 2012 were linked to HIV. 30 people killed in clashes on the Indian-Pakistan border. 9 countries have reported suspected Ebola cases. Picture of the Week A man carries empty water pitchers for sale in a market in Bangalore, India. Photograph: Stringer/India/Reuters Milestones Uruguay is the first country in Latin America to assume resettlement costs for Syrian refugees, after accepting Syrian refugees for the first time on Thursday. Iranian president Hassan Rouhani called for greater academic freedom in Iran’s universities on Tuesday. Reynaldo Bignone, who ruled Argentina from 1982 to 1983, was sentenced to 23 years for the kidnap and torture of more than 30 factory workers. Chile’s supreme court halted the development of a gold and copper mine until indigenous communities are consulted. Infographic This map shows the varying food security levels across South Sudan - it’s part of a larger interactive, multimedia piece South Sudan - a man made catastrophe by Messengers of Humanity. South Sudan food security map Photograph: Messengers of Humanity Reading list Aid transparency index (Publish What You Fund) A happy homecoming for India’s widows (BBC) Uganda’s Museveni walks back hard line on homosexuals; is the anti-gay currency collapsing in Africa? (Mail Guardian Africa) Who owns Kenya? (This is Africa) Coming next week: have your say Our live chat on Thursday 16 October 1-3pm BST will explore issues around family farmers for World Food Day. Email globaldevpros@theguardian.com to recommend someone for the panel. Stay tuned for articles looking at the power of poo in a Kibera slum, and the impact of biker gangs and ex-militants in keeping the peace in Liberia’s Ebola crisis. Calling all southern voices! We want to hear about new papers",14
880107,guardian,science_technology,Roll a die,"Google’s easter eggs – funny little images, programs or widgets – are legendary, but many of them lie dormant, just waiting for users to type the magic words into the search box. Are they clever? Some are. Are they useful? Most aren’t. But they’re all a welcome distraction from working. They all work in Chrome on desktop, most work on mobile too, and some of them also work in other browsers. Enjoy. . Barrel roll Do a barrel roll. An oldie but a goodie. Typing either “do a barrel roll” or “z or r twice” will make the Google search page roll flip 360 degrees. Why? For fun of course. Both phrases are a reference to Star Fox, in which you had to hit the Z or R button twice to roll your fighter left or right. Tilting Google off angle. Photograph: Samuel Gibbs for the Guardian Typing “askew” into Google sets the whole page off at a tilted angle. “Tilt” also used to work, but I couldn’t get it to do anything in my testing. Star Wars text The Google crawl. Photograph: Samuel Gibbs for the Guardian Have you ever wanted your Google search results to scroll down the page mimicking the Star Wars opening text? No, me neither, but you can by typing “a long time ago in a galaxy far, far away”. Blinking Blinks blink across search for blink. Photograph: Samuel Gibbs for the Guardian Typing in “ blink ” searches Google for blink and then makes every instance of the word blink in the results ... blink. Yep. Google like it’s 1998 What Google looked like when it first launched. Photograph: Samuel Gibbs for the Guardian Do you remember what Google looked like when it first lurched onto the open web in 1998? The aesthetic was similar, but 2016’s web is quite a few leaps forward in design over the late 1990s web. Type “google in 1998” to show what the search engine was first like and conduct searches like you’ve just lost 18 years. Zerg rush! Old-style Google naughts rushing. Photograph: Samuel Gibbs for the Guardian Bored at work and the only thing you have access to is Google? Type “zerg rush” into the search box, hit enter and prepare to frantically click on a surge of little Google “o”s as they attempt to eat your page. Zerg rush was a tactic employed by Zerg players in the 1998 strategy game StarCraft, which involved the sending of hundreds of cheap, low-level units to overwhelm an opponent. Breakout Breakout right in image search. Photograph: Samuel Gibbs for the Guardian Brick breaking at its best. Type “atari breakout” into Google’s image search to start up an impromptu game of image search result bricks. Conway’s Game of Life A quick spot of a Game of Life on the right-hand side. Photograph: Samuel Gibbs for the Guardian British mathematician John Horton Conway devised the Game of Life as a cellular automation, where the player sets the starting parameter and then watches as evolution takes over. Typing “conway’s game of life” into",3
1212535,guardian,entertainment_culture,David Pemsel at the 2013 Changing Media Summit,"Day one - 18 March 2015 9.20 - 10.00 Registration and coffee 10.00 - 10.05 Chair’s opening remarks Rory Cellan-Jones , technology reporter, BBC News 10.05 - 10.15 Welcome from the Guardian David Pemsel , deputy CEO, Guardian News Media 10.15 - 10.40 Opening keynote presentation How social media changed everything Hear storytelling entrepreneur, video blogger, self-trained social media expert and best-selling author Gary Vaynerchuk explain how social media has changed brand building in the digital age. Gary Vaynerchuk , CEO, VaynerMedia and general partner, VaynerRSE 10.40 - 11.30 Opening keynote panel debate Then and now: adapting and profiting from ten years of digital disruption The last decade has seen seismic shifts across the media landscape. As content businesses continue to transition from legacy to digital media entities, which monetisation models are working and which are fading fast? How successful have media companies been in diversifying their product lines? With digital opening up new territories, how do media businesses take advantage of these opportunities? Do media companies need a new cultural mindset for the digital age? Moderator: Robert Andrews, journalist and writer Ashley Highfield , CEO, Johnston Press Keith Hindle , CEO digital and branded entertainment, FremantleMedia Anna Jones , CEO, Hearst Magazines UK David Pemsel , deputy CEO, Guardian News Media Christina Scott , CIO, Financial Times 11.30 - 11.55 Keynote presentation Nicola Mendelsohn, vice president, Facebook EMEA 11.55 - 12.20 Refreshment break 12.20 - 12.40 Fireside chat The future of advertising Programmatic advertising is changing the media landscape. According to recent forecasts by Magna Global, last year, media inventory transacted through programmatic methods reached 13bn globally. This session will explore the opportunities and challenges that programmatic advertising poses to publishers, advertisers and agencies. Interviewer: Rory Cellan-Jones , technology reporter, BBC News Michael Rubenstein , president, AppNexus 12.40 - 13.30 Breakout sessions Delegates choose from one of the following breakout options Ivvet Modinou speaking at the 2013 Changing Media Summit Breakout session 1 Native advertising: the saviour of publishers or fools gold? From Forbes and the Atlantic to the Washington Post and the Guardian, publishers are making a massive play in the native advertising space. But what does the term actually mean? How does native advertising differ from traditional advertorials? What are the benefits for brands? Is there a risk that publishers are eroding readers’ trust? Does mobile represent the future of native advertising? Moderator: Jon Bernstein, digital media consultant Nick Baughan , CEO, Maxus UK Tiffanie Darke , creative content director, News UK Stephanie Himoff, managing director, UK and Ireland, Outbrain Anna Watkins , managing director, Guardian Labs Breakout session 2 Millennial magic: how to collaborate with Vine and YouTube stars For many media companies, millennials remain one of the most elusive and difficult demographics to reach. Increasingly, millennials are sharing and consuming content produced by their peers. Vloggers and Vine stars now have massive audiences, often eclipsing the reach of some media businesses. What can brands and publishers learn from these content stars about engaging with millennials? What can brands and publishers learn from these content stars and how",8
807272,guardian,sport,Wayne Bridge claimed Roberto Mancini does nt speak to him and does nt want him at Manchester City,"Wayne Bridge has hit back at the Manchester City manager, Roberto Mancini, for claiming he is more interested in money than football. Mancini criticised the out-of-favour defender this week, suggesting that he was motivated only by his 90,000-a-week salary and that he spends Saturday afternoons playing golf as he is no longer part of City's first-team plans. Bridge has not played for City in the league for a year but has turned down the chance to leave despite offers from Celtic and clubs in Russia and Turkey. Bridge told the Daily Mail: Roberto Mancini obviously doesn't know me very well because I don't play golf. When I was at Chelsea I was playing for a team where Ashley Cole was the best in the world and I still got games. It won't happen at City. There has never been an explanation but it's obvious they don't want me. Mancini doesn't really speak to me, he doesn't really speak to any of the players. The only time I've known a player isolated like this was Winston Bogarde at Chelsea. Usually you still train with the first team, even when they want you out. I've never caused trouble, I'm not that kind of character. If I kicked up a fuss, I might have got out easier.",18
957238,guardian,world_society,Arthur Scargill the clothes might have been on the utilitarian side but at least workers had more standing then,"Until this weekend, I innocently assumed that fashion designers drew their inspiration from the arty, the ethereal, the eternally wispy. Jean Seberg in a Breton top, perhaps, or Mick'n'Keef in Marrakech. Until, that is, I discovered Burton's new collection dedicated to Arthur Scargill. Yes, really. Together with Royal College of Art student Liam Hodges, the menswear retailer has launched a line inspired by the former boss of the NUM. After watching documentaries about the miners' strikes, and scouring photos of colliery-chic, Hodges came up with 14 pieces, including a green donkey jacket, naturally enough (for, ahem, 180), and some rather natty bobble hats. God knows what Barnsley's most famous Marxist makes of being the subject of a clothing range – let alone one flogged by Philip Green, who should have received his knighthood for services to the tax-avoidance industry. Still, intriguing possibilities arise of other figures from Labour's black-and-white past being resurrected by the Gods of Fast Fashion. How long can it be before we get an Eric Heffer fair isle pullover, or Sogat deck shoes? And just who would be able to resist the Mick McGahey pashmina slanket? Yet something interesting is going on here, and it's summed up when Hodges defines the appeal of the miners' strike: There's just something about a band of people sticking up for what's right. I suppose I'm slightly nostalgic. This from a 24-year-old Kent boy, born well after the Battle of Orgreave. For the past couple of years, men's fashion has been full of such industrial wistfulness. Some of it is laughable, such as Marks Spencer reporting a 75% jump in sales of flat caps; or Shoreditch web designers all togged up as if they have just emerged from a Seattle log cabin. But those excesses are outweighed by the sheer volume of fisherman's cagoules, brogues and tweed that dominates your average high street on a Saturday. The big chains have caught on: both John Lewis and M S now stock heritage lines, sagging with twill trousers and heavy woollen cardigans. I don't imagine any of the twenty- or thirtysomethings wearing this stuff seriously want to swap their service-sector lifestyles for the pit. You couldn't see more than two yards for dust, as Scargill once reminisced about his early shifts to this paper. I had to scrape the caked dust from my lips before I could eat my sandwiches. But adopting the formula spouted by the Westminster classes for most of the past three decades – which simply states: manufacturing bad, services good, creative jobs best – doesn't do it either. For one, it overlooks the sheer employment created by industry: even in its current shrunken state, manufacturing still provides more full-time jobs than retail and finance put together. And it ignores the pay and job security that unionised workers in manufacturing secured for themselves. Compare that with now. According to research by Howard Reed and Jacob Mohun Himmelweit in a new paper for the TUC, the proportion of this country's income that went to workers in the 90s and noughties was far below",19
893730,guardian,world_society,John Manuel 15 my dog BrunoAs John s siblings fled their home on the island of Panay he stayed to save Bruno It was lucky for his neighbour who is partly paralysed that he did John saved him by keeping his head above water He says I just held him even when he passed out I was crying and praying Then my dad came back He saved us,"Flora, 39 – my children’s birth certificates Flora lives by the coast in Guiuan, the first place hit by the typhoon. As waves flooded the village, her home was washed away. Flora managed to save her children’s birth certificates. ‘They’re important because my children can’t register for school without them,’ she explains John Manuel, 15 – my dog, Bruno As John’s siblings fled their home on the island of Panay, he stayed to save Bruno. It was lucky for his neighbour, who is partly paralysed, that he did. John saved him by keeping his head above water. He says: ‘I just held him, even when he passed out. I was crying and praying. Then my dad came back. He saved us’ Romila, 37 – a towel When the typhoon hit, Romila, who was eight months pregnant, raced to the local church with her husband. As they took shelter, their home began to collapse. ‘It was very difficult to run. My stomach was bulging,’ she says. ‘We had to leave everything behind. The only thing I could take was a towel, which I used to cover my head’ Leejohn, five – my toys Thanks to his grandmother, Leejohn still had toys to play with after the storm. She had wrapped them in a plastic bag. After the roof of the house fell in, rain poured in and floodwater flowed under the door. ‘Our hearts were racing,’ says Leejohn’s grandfather. ‘If the flood had come much higher we would have died’ Leopoldo, 66 – a tin of rice After taking his family over a river to higher ground, Leopoldo returned home for a tin of rice. But as he recrossed the bridge, he was knocked over by a wave. ‘I nearly drowned,’ he says. ‘But I was able to grab a branch. I managed to pull myself up to the road.’ He held on to the tin, but the soaking rice was unusable Amalia, 83 – a Minnie Mouse bag Amalia and her son sheltered at home before having to flee. ‘I thought typhoon Yolanda [as it was called locally] would be like other typhoons, but it was like four in one,’ Amalia says. ‘When I fled our home, I took a small bag, with Minnie Mouse on the front. I grabbed it in a panic and stuffed it with clothes’ Corazon, 71 – my rosary As her home on Leyte island fell down, Corazon clung to a rosary. ‘I thought it was the end. All I did was pray with my rosary,’ she says. ‘I was injured and I felt numb. I was trapped underneath the debris. My nephews pulled me out and carried me away. I wasn’t able to walk because I was shaking and trembling’ Ronald, 34 – my wife, Maria Gracia The night before the storm stuck, Ronald had taken his wife, Maria Gracia, to hospital on Leyte island. Early in the morning, the hospital roof was blown off. As he carried her away, her feet became caught in a mosquito net. He dived under the water to free her",68
1591995,bbc,entertainment_culture,Arming Kurds One of the options the Sun urges,"As Nato meets in Great Britain for the first time since 1990, and the Independent urges ""Your move, Mr President"", there is fighting talk from America's Barack Obama in the Times . Writing jointly with British Prime Minister David Cameron, he says: ""If terrorists think we will weaken in the face of their threats they could not be more wrong. Countries like Britain and America will not be cowed by barbaric killers."" The pair also write about ""supporting the partners who are taking the fight"" to Islamic State. ""Obama and Cameron have belatedly grasped the scale of the crisis in Syria and Iraq,"" argues the Times's editorial , adding: ""They must match fine words with the right actions."" However, few commentators seem convinced by what they have seen so far from Western leaders. Having watched MPs debate the situation in the Commons, the Independent's Donald MacIntyre sums things up by saying: ""The PM said the only response was to 'stand firm...' [Labour leader Ed] Miliband said that 'he can be assured of our full support in standing firm against them.' They were equally united in not saying what 'standing firm' would actually mean."" ""At such moments, we turn to our national leaders for wisdom, reassurance and decision. Instead, we get posturing, dithering and waffle,"" complains Max Hastings, in the Daily Mail . Meanwhile, the Independent's cartoonist Brian Adcock imagines a jihadist using a reflex hammer on Mr Obama, with the US president straining to prevent a reaction. 'Tough choices' The Sun, which urges the PM to ""send in the drones"", prints the results of a YouGov poll it says indicates that Britons are in favour of both air strikes and arming Kurdish fighters. However, it says people remain against sending in ground troops. Sources quoted by the Telegraph suggest Labour and the Liberal Democrats have indicated they would back bombing missions, and that ""British soldiers could return to Iraq to help train troops fighting [Islamic State]"". The Daily Mirror lays out the ""tough choices"" ahead for world leaders - including a deal with Syrian President Bashar al-Assad, a ground attack against IS and ignoring the problem as a ""local issue"". The paper spells out the pros and cons of each. Daily Express columnist Leo McKinstry argues that nothing better illustrates the UK's policy ""confusion"" than continuing friendly ties with Saudi Arabia and Qatar. ""[They] give support to our deadly enemies, not only through bankrolling jihadists but also through their backing for the global export of the vile creed of Wahhabism, the ultra-puritan, ruthlessly authoritarian version of Islam that inspires extremists,"" he writes. A Sun investigation claims to lift the lid on IS, explaining who are its key leaders - including former members of Saddam Hussein's regime, how it's bankrolled by smuggling, extortion and the ransacking of cities, and how its ""moral police"" dictate ordinary life. Meanwhile, Martin Chulov writes in the Guardian that Islamic State leader Abu Bakr al-Baghdadi is aiming to bring on an ""apocalyptic showdown"" between Muslims and Christians that was predicted 1,400 years ago, quoting one academic saying the",9
1036601,guardian,world_society,Money was allegedly paid to intermediaries of the Iraqi regime from late 1999 until 2003 the court heard,"The vast sums of money AWB paid in trucking and other fees was a “bribe” that strengthened its grip on Iraq’s surging wheat market. The corporate watchdog says this was the only explanation for AWB’s rise to dominate the Iraqi wheat market at a time when Australian grain was not the cheapest available. “Eventually AWB is boasting it has got nearly 90% of the total Iraqi wheat trade,” Australian Securities and Investments Commission counsel Norman O’Bryan told the Victorian supreme court on Thursday. “For a premium to be paid and to still gain more market share each year, something else is happening ... a bribe.” Two former AWB executives – chairman Trevor Flugge and group general manager trading Peter Geary – are facing a civil trial for breach of duty over $300m in so-called trucking fees and after-sales service fees . The money was allegedly paid to intermediaries of the Iraqi regime from late 1999 until the 2003 US-led invasion of Iraq, in breach of sanctions and outside of the UN’s oil-for-food program. The court was also on Thursday told of other high-stakes deals and bartering between AWB and Iraq. AWB brokered settlement of an $US8m debt Iraq owed to another company, Tigris Petroleum, over a 1996 shipment of wheat that was never paid for. Iraq countered with several “trivial claims” of wheat shipments being contaminated, including one with iron filings for which it sought millions in compensation from AWB. “They were not paid, your honour, because Saddam Hussein was dealt with in early 2003,” Mr O’Bryan said. The prosecution will continue its opening address into early next week when the first witnesses will be called. In a statement issued before the hearings began on Monday, Flugge said he hoped the case would finally put to rest the untested allegations, rumours and innuendo he and his family had lived with since the ASIC action started in 2007. The case was adjourned to Monday.",18
